Questions,sentence,answers
What are two types of model that machine learning can produce?,"various types of model that machine learning can produce are introduced such as the neural network feedforward and recurrent, support vector machine, random forest, selforganizing map, and bayesian network.",neural network feedforward and recurrent
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
What is responsible for making improvements in the tutor?,"a performance element is responsible for making improvements in the tutor, using perceptions of tutorstudent interactions, and knowledge about the student's reaction to decide how to modify the tutor to perform better in the future.",performance element
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
What are ml techniques used in intelligent tutors?,"ml techniques are used in intelligent tutors to acquire new knowledge about students, identify their skills, and learn new teaching approaches.",learn new teaching approaches
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
What type of information does tutors provide for generating feedback?,analysis of student behavior leads to greater student learning outcome by providing tutors with useful diagnostic information for generating feedback.,diagnostic information
What is discussed as a central guiding idea of learning?,"the tradeoff between bias, variance, and model complexity is discussed as a central guiding idea of learning.","bias, variance, and model complexity"
What type of tutors customize their teaching by reasoning about large groups of students?,"ml tutors customize their teaching by reasoning about large groups of students, and tutorstudent interactions, generated through several components.",ml
What are ml techniques used in intelligent tutors?,"ml techniques are used in intelligent tutors to acquire new knowledge about students, identify their skills, and learn new teaching approaches.",learn new teaching approaches
What do students do to improve teaching?,they improve teaching by repeatedly observing how students react and generalize rules about the domain or student.,how students react
What are ml techniques used in intelligent tutors?,"ml techniques are used in intelligent tutors to acquire new knowledge about students, identify their skills, and learn new teaching approaches.",learn new teaching approaches
What are ml techniques used in intelligent tutors?,"ml techniques are used in intelligent tutors to acquire new knowledge about students, identify their skills, and learn new teaching approaches.",learn new teaching approaches
What is the role of ml techniques in a tutor?,the role of ml techniques in a tutor is to independently observe and evaluate the tutor's actions.,independently observe and evaluate
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",machine learning
"What refers to a system's ability to acquire, and integrate knowledge through largescale observations?","machine learning ml refers to a system's ability to acquire, and integrate knowledge through largescale observations, and to improve, and extend itself by learning new knowledge rather than by being programmed with that knowledge.",ml
What can be used to a gather understanding of the cyber phenomenon that produced the data under study?,"machine learning algorithms can be used to a gather understanding of the cyber phenomenon that produced the data under study, b abstract the understanding of underlying phenomena in the form of a model, c predict future values of a phenomena using the abovegenerated model, and d detect anomalous behavior exhibited by a phenomenon under observation.",machine learning algorithms
Machine learning algorithms can be used to do what?,"machine learning algorithms can be used to a gather understanding of the cyber phenomenon that produced the data under study, b abstract the understanding of underlying phenomena in the form of a model, c predict future values of a phenomena using the abovegenerated model, and d detect anomalous behavior exhibited by a phenomenon under observation.",a gather understanding of the cyber phenomenon
What are two types of model that machine learning can produce?,"various types of model that machine learning can produce are introduced such as the neural network feedforward and recurrent, support vector machine, random forest, selforganizing map, and bayesian network.",neural network feedforward and recurrent
What has become one of the hottest computational science topics in the last decade?,"from the efforts of mega corporations such as google, microsoft, facebook, amazon, and so on, machine learning has become one of the hottest computational science topics in the last decade.",machine learning
What are the mega corporations that have been working to make machine learning one of the hottest topics in the last decade?,"from the efforts of mega corporations such as google, microsoft, facebook, amazon, and so on, machine learning has become one of the hottest computational science topics in the last decade.","google, microsoft, facebook, amazon"
What can be used with application programming interface api calls or nonprogrammatic applications?,there are several opensource implementations of machine learning algorithms that can be used with either application programming interface api calls or nonprogrammatic applications.,machine learning algorithms
What are opensource implementations of machine learning algorithms that can be used with?,there are several opensource implementations of machine learning algorithms that can be used with either application programming interface api calls or nonprogrammatic applications.,application programming interface api calls
What is a field of study that looks at using computational algorithms to turn empirical data into usable models?,machine learning is a field of study that looks at using computational algorithms to turn empirical data into usable models.,machine learning
What does machine learning use to turn empirical data into usable models?,machine learning is a field of study that looks at using computational algorithms to turn empirical data into usable models.,computational algorithms
What field grew out of traditional statistics and artificial intelligence communities?,the machine learning field grew out of traditional statistics and artificial intelligences communities.,machine learning
The machine learning field grew out of what?,the machine learning field grew out of traditional statistics and artificial intelligences communities.,traditional statistics and artificial intelligences communities
What does the chapter conclude with practical advice on?,the chapter concludes with some practical advice on how to perform a machine learning project.,how to perform a machine learning project
The field of machine learning is introduced at what level?,the field of machine learning is introduced at a conceptual level.,conceptual
